,0
1398,8480940
1399,650001024
1400,522435008
1401,44715000
1402,33972500
1403,81995200
1404,55598700
1405,11931700
1406,329003008
1407,86732000
1408,790417984
1409,58942300
1410,54840700
1411,43502800
1412,663100032
1413,38858300
1414,23203000
1415,83595696
1416,17439800
1417,7583439872
1418,43122100
1419,19459800
1420,45427000
1421,74169104
1422,23980500
1423,116557000
1424,45705600
1425,340860000
1426,26677200
1427,19235900
1428,66695500
1429,34111700
1430,73752304
1431,
1432,153572992
1433,29177600
1434,11949800
1435,157762000
1436,266624992
1437,72356704
1438,35767900
1439,74554704
1440,516944000
1441,46680800
1442,16685800
1443,147231008
1444,130595000
1445,19473100
1446,193832000
1447,30562500
1448,92865104
1449,9007230
1450,43587400
1451,5477530
1452,10412900
1453,214524992
1454,79625800
1455,127800000
1456,47166100
1457,164071008
1458,44144700
1459,57858500
1460,249812000
1461,802585024
1462,52910800
1463,39219100
1464,87494896
1465,59253000
1466,213736000
1467,49291900
1468,86573600
1469,439804000
1470,328672000
1471,113750000
1472,67762600
1473,13382600
1474,22489900
1475,41208900
1476,15339200
1477,44650000
1478,30491800
1479,95570800
1480,1240019968
1481,6489570
1482,600384000
1483,356476000
1484,1430419968
1485,68873504
1486,156814000
1487,28582100
1488,166703008
1489,21779300
1490,388223008
1491,84026096
1492,190704000
1493,16848000
1494,7036070
1495,20515500
1496,48662400
1497,25108900
1498,250542000
1499,6366100
1500,68027200
1501,256179008
1502,35494300
1503,18346000
1504,37707700
1505,221176992
1506,73855200
1507,29419000
1508,51358700
1509,179575008
1510,78656896
1511,208052000
1512,33802000
1513,282888000
1514,301135008
1515,52636700
1516,51248500
1517,100440000
1518,615134976
1519,12874400
1520,3675950
1521,33998200
1522,159198000
1523,169850000
1524,125006000
1525,127593000
1526,50568900
1527,6330560
1528,3436020
1529,30435600
1530,9788000
1531,199630000
1532,388636000
1533,32948000
1534,65701300
1535,25033600
1536,45262900
1537,27516900
1538,463958016
1539,165852992
1540,343416000
1541,323726016
1542,23475900
1543,107841000
1544,53364300
